symbol,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraHighTTM,peExclExtraTTM,peExclLowTTM,peInclExtraTTM,peNormalizedAnnual
ADBE,64.3543,79.06651,74.15602,59.82845,42.97799,59.87398,75.0635
BABA,22.88396,37.02005,55.36052,31.57027,15.4879,31.57027,30.53339
GOOG,,,,,,,
AAPL,26.64209,38.71511,26.87722,34.9739,10.90841,34.9739,38.71511
ANET,21.27871,19.65541,74.0582,22.23815,19.12594,22.23815,19.65541
BIDU,82.32658,132.5674,157.0712,88.21341,12.08936,88.21341,38.51327
BNFT,,,,,,,
CTSH,19.17289,22.53374,24.56778,25.05476,14.55134,25.05476,17.06709
DXC,,,442.3091,,10.27293,,
FB,27.52988,43.11433,90.31364,35.35473,17.29342,35.35473,35.88327
GRPN,,,385.9006,,77.76733,,
MANH,72.76593,74.02094,73.75739,75.31765,23.82453,75.31765,74.02094
MSFT,34.97402,36.45007,42.36112,36.44546,19.94465,36.44546,36.23212
NTES,19.92053,32.20034,29.07944,29.19121,10.94903,19.08998,32.20034
NXPI,,161.4053,212.1153,,10.69695,,126.4996
ORCL,17.51754,18.55168,22.08948,17.90015,15.5702,17.90015,18.09272
SINA,,,104.7603,,19.29607,,39.67732
WORK,,,,,,,
SOHU,,,,,,,
NCTY,,,,,,,
TWTR,,26.26191,73.88829,,11.56652,,26.24335
UTSI,,,270.636,,9.54692,,
ZNGA,,216.7751,234.767,,77.75653,,186.7868
