Ticker,N,R-COEFF ROE,R-COEFF EPS,EPS 1,EPS 2,CAGR EPS,PE MIN,PE MAX,P AGR MIN,P AGR MAX
CPB,10,0.551,0.16,2.516,5.391,0.079,13.766,39.075,13.018,25.446
CASY,10,0.472,0.855,2.489,7.168,0.112,18.871,28.9,8.599,13.328
CVS,10,0.051,0.214,2.514,5.095,0.073,10.311,50.137,6.649,24.923
GIS,10,0.256,0.576,2.788,3.577,0.025,15.217,25.788,1.664,7.17
JJSF,10,0.18,0.95,2.616,5.018,0.067,26.826,59.94,6.603,15.528
MKC,10,0.023,0.772,2.783,5.287,0.066,24.695,36.477,3.037,7.136
MNST,10,0.376,0.968,0.397,2.064,0.179,27.238,53.195,14.19,22.094
FIZZ,10,0.422,0.893,0.883,2.788,0.122,15.792,40.017,5.565,15.851
RAD,6,0.07,0.067,2.622,17.679,0.374,4.118,1551.16,69.104,206.024
SFM,8,0.916,0.968,0.155,1.273,0.301,11.462,32.121,26.428,40.151
HSY,10,0.472,0.797,2.246,5.505,0.094,19.343,41.855,6.595,15.149
TR,10,0.428,0.736,0.737,0.981,0.029,29.327,42.602,2.421,6.317
THS,2,0.813,0.777,2.107,2.665,0.125,29.858,57.981,20.831,29.122
TSN,10,0.532,0.859,2.069,5.525,0.103,9.852,18.356,9.766,16.813
UNFI,8,0.717,0.595,1.588,3.229,0.093,11.714,20.03,19.217,25.788
